WAVELENGTH,S-T-00,S-R-00,D-T-00,D-R-00
4740,50.222988,24.880687,37.47939,45.43966
4760,49.355488,25.345284,37.39948,45.52423
4780,48.511592,25.789065,37.34253,45.58453
4800,47.795359,26.183855,37.30773,45.6214
4820,47.048397,26.572536,37.29429,45.63561
4840,46.416981,26.901293,37.30151,45.62792
4860,45.78856699,27.21053977,37.3287,45.59903
4880,45.241926,27.529898,37.37526,45.54964
4900,44.702807,27.796819,37.44061,45.48038
4920,44.221384,28.045991,37.52422,45.39189
4940,43.789494,28.28398,37.62558,45.28475
4960,43.353788,28.513631,37.74424,45.15953
4980,43.017232,28.637662,37.87977,45.01679
5000,42.64183,28.837585,38.03176,44.85705
5020,42.334719,28.959711,38.19936,44.68131
5040,42.031686,29.066516,38.38279,44.48947
5060,41.816785,29.129623,38.5817,44.282
5080,41.553569,29.250813,38.79581,44.05937
5100,41.406969,29.26029,39.02479,43.82202
5120,41.207106,29.329389,39.26838,43.5704
5140,41.088146,29.385508,39.52631,43.30491
5160,40.940963,29.404446,39.79834,43.02598
5180,40.877918,29.402674,40.08422,42.73402
5200,40.848262,29.49354,40.38374,42.42941
5220,40.782404,29.400776,40.69667,42.11255
5240,40.676377,29.38451,41.0228,41.78381
5260,40.667364,29.337693,41.36193,41.44358
5280,40.673817,29.351477,41.71386,41.09223
5300,40.743487,29.252107,42.07841,40.73013
5320,40.75259,29.152835,42.45539,40.35763
5340,40.688095,29.161705,42.8446,39.9751
5360,40.80403283,29.00072857,43.24588,39.5829
5380,40.97856,28.891249,43.65902,39.18138
5400,41.110844,28.881817,44.08386,38.7709
5420,41.216055,28.800371,44.52021,38.35182
5440,41.311271,28.55707,44.96788,37.92449
5460,41.706115,28.574905,45.42669,37.48925
5480,41.897285,28.343868,45.89644,37.04646
5500,41.905927,28.155169,46.37696,36.59648
5520,42.136292,28.094593,46.86803,36.13965
5540,42.317731,27.838943,47.36946,35.67633
5560,42.482617,27.796799,47.88104,35.20687
5580,42.684287,27.499995,48.40255,34.73162
5600,43.065745,27.288084,48.93378,34.25094
5620,43.351628,27.176953,49.47451,33.76519
5640,43.551496,26.945734,50.02449,33.2747
5660,43.932779,26.651215,50.58349,32.77985
5680,44.346393,26.436791,51.15125,32.28098
5700,44.493755,26.350845,51.72753,31.77845
5720,44.979612,25.974603,52.31207,31.27262
5740,45.518575,25.750102,52.90457,30.76383
5760,45.903939,25.64912,53.50561,30.25171
5780,46.087093,25.051634,54.11496,29.73661
5800,46.459913,25.000932,54.73147,29.21958
5820,47.200989,24.775033,55.35484,28.70097
5840,47.568887,24.233126,55.98473,28.18113
5860,47.4918229,24.26287501,56.62084,27.66042
5880,47.899757,23.909234,57.26282,27.13917
5900,48.516725,23.339272,57.91032,26.61774
5920,48.727303,23.250429,58.56298,26.09645
5940,49.298886,22.943557,59.22044,25.57565
5960,49.94745,22.593306,59.88234,25.05567
5980,50.381766,22.332948,60.54829,24.53683
6000,50.937101,21.908682,61.2179,24.01946
6020,51.255492,21.639948,61.89112,23.50338
6040,51.371532,21.525324,62.5673,22.98932
6060,51.814046,21.017033,63.24603,22.47762
6080,52.359916,20.554842,63.92689,21.96857
6100,53.047145,20.410269,64.60947,21.46246
6120,53.812312,20.041172,65.29335,20.95958
6140,54.066219,19.610834,65.9781,20.46021
6160,54.607562,19.377315,66.66329,19.96463
6180,55.350234,19.033054,67.34851,19.47309
6200,55.816915,18.610672,68.03331,18.98586
6220,56.333009,18.281487,68.71726,18.50318
6240,56.871189,17.970955,69.39993,18.02528
6260,57.366674,17.660803,70.0809,17.55241
6280,57.974245,17.340313,70.75974,17.08477
6300,58.576557,16.986348,71.436,16.62259
6320,59.082276,16.702501,72.10928,16.16605
6340,59.797002,16.466597,72.77915,15.71535
6360,60.648173,16.056792,73.44521,15.27067
6380,61.063578,15.753626,74.10704,14.83218
6400,61.581301,15.641236,74.76424,14.40005
6420,62.45272,15.173749,75.41644,13.97441
6440,62.603117,14.663055,76.06322,13.55541
6460,62.946455,14.555595,76.70424,13.14317
6480,63.855311,14.38772,77.3391,12.73783
6500,64.441022,13.857985,77.96749,12.33947
6520,64.806162,13.466867,78.58903,11.94821
6540,65.484816,13.325358,79.2034,11.56413
6560,66.468426,13.101861,79.81029,11.1873
6580,67.396842,12.69116,80.40938,10.81779
6600,67.606728,12.395271,81.0004,10.45567
6620,67.668343,12.184185,81.58305,10.10097
6640,68.243538,11.850913,82.15707,9.75375
6660,69.339796,11.492562,82.72223,9.41401
6680,70.096032,11.270785,83.27829,9.08179
6700,70.316134,11.028942,83.82502,8.7571
6720,70.911968,10.610521,84.36224,8.43994
6740,71.818713,10.296767,84.88974,8.1303
6760,72.308297,10.135348,85.40737,7.82816
6780,72.748138,9.898129,85.91498,7.53352
6800,73.546935,9.523402,86.41241,7.24633
6820,74.236158,9.272539,86.89955,6.96656
6840,74.887233,9.102857,87.3763,6.69416
6860,75.718642,8.842348,87.84256,6.42909
6880,76.368517,8.493377,88.29826,6.17129
6900,76.808169,8.19694,88.74335,5.9207
6920,77.279166,7.974512,89.17777,5.67724
6940,77.85917,7.778884,89.60151,5.44085
6960,78.533259,7.532138,90.01453,5.21144
6980,79.041276,7.246104,90.41686,4.98894
7000,79.374526,7.029301,90.80849,4.77324
7020,79.89262,6.857601,91.18893,4.56427
7040,80.611252,6.643574,91.55873,4.36191
7060,81.115439,6.393763,91.91797,4.16609
7080,81.448839,6.172903,92.26669,3.97668
7100,81.939389,5.968642,92.60497,3.79358
7120,82.555136,5.771485,92.93289,3.6167
7140,83.10882,5.591502,93.25056,3.4459
7160,83.625736,5.406645,93.55808,3.28109
7180,84.156453,5.212018,93.85558,3.12214
7200,84.627091,5.033987,94.14314,2.96894
7220,85.045082,4.871228,94.42094,2.82137
7240,85.518332,4.705395,94.68909,2.6793
7260,86.085167,4.535066,94.94773,2.54263
7280,86.632644,4.360145,95.19704,2.41122
7300,87.076837,4.181436,95.43716,2.28496
7320,87.511779,4.016759,95.66827,2.16373
7340,88.038832,3.877924,95.89052,2.04739
7360,88.578657,3.740288,96.10409,1.93583
7380,89.014876,3.58411,96.30916,1.82893
7400,89.395452,3.427707,96.50591,1.72656
7420,89.834123,3.288825,96.69452,1.62861
7440,90.305912,3.162646,96.87518,1.53494
7460,90.699239,3.040134,97.04807,1.44545
7480,91.0422,2.921052,97.21338,1.36002
7500,91.450839,2.806939,97.37131,1.27852
7520,91.914446,2.695601,97.52204,1.20084
7540,92.305701,2.579503,97.66578,1.12686
7560,92.587157,2.450769,97.8027,1.05647
7580,92.87949,2.320135,97.93301,0.98956
7600,93.256919,2.206983,98.05689,0.92601
7620,93.625637,2.111728,98.17455,0.86572
7640,93.903788,2.023424,98.28614,0.80858
7660,94.152644,1.931378,98.39188,0.75448
7680,94.453288,1.830177,98.49195,0.70332
7700,94.782018,1.726252,98.58653,0.65499
7720,95.057277,1.62932,98.67582,0.60939
7740,95.255101,1.545856,98.75997,0.56644
7760,95.457139,1.472512,98.83919,0.52602
7780,95.731851,1.404459,98.91363,0.48804
7800,96.00783,1.337715,98.98347,0.45242
7820,96.206646,1.268803,99.0489,0.41906
7840,96.35985,1.19766,99.11006,0.38787
7860,96.539627,1.127462,99.16713,0.35876
7880,96.780824,1.05933,99.22026,0.33165
7900,97.006546,0.991491,99.26962,0.30646
7920,97.141811,0.923248,99.31536,0.28311
7940,97.250488,0.860633,99.35764,0.26151
7960,97.405908,0.808527,99.39658,0.2416
7980,97.6068,0.765456,99.43236,0.22329
8000,97.779083,0.724411,99.46509,0.20652
8020,97.865307,0.677581,99.49435,0.19098
8040,97.93082188,0.629493614,99.52091,0.17681
8060,98.042684,0.586821,99.54491,0.16394
8080,98.190337,0.551853,99.56647,0.15229
8100,98.31577,0.520853,99.58572,0.14181
8120,98.367108,0.488593,99.60278,0.13244
