WAVELENGTH,AR Reflecttance @ 00 AOI,AR Reflecttance @ 30 AOI,AR Transmittance @ 00 AOI,AR Transmittance @ 30 AOI
2.26,17.209287,13.293789,54.518053,61.73723
2.262,17.175535,13.239212,54.664429,61.939441
2.264,17.135197,13.183106,54.772117,62.054389
2.266,17.090931,13.145053,54.897826,62.198032
2.268,17.046788,13.122889,55.064504,62.415638
2.27,17.002423,13.084316,55.217799,62.594082
2.272,16.959961,13.019238,55.337332,62.697677
2.274,16.925052,12.960926,55.472513,62.849412
2.276,16.89477,12.928557,55.639394,63.088731
2.278,16.852747,12.902914,55.789466,63.285588
2.28,16.794016,12.868151,55.906206,63.391275
2.282,16.733404,12.82785,56.038282,63.53083
2.284,16.681469,12.783517,56.205482,63.756498
2.286,16.634183,12.73055,56.362562,63.954674
2.288,16.586458,12.669015,56.490756,64.078992
2.29,16.542318,12.607774,56.627227,64.237085
2.292,16.500111,12.558001,56.787799,64.467517
2.294,16.451153,12.530776,56.938192,64.656055
2.296,16.396249,12.519786,57.065809,64.758329
2.298,16.35527,12.493642,57.206001,64.893465
2.3,16.336184,12.438827,57.375259,65.121544
2.302,16.319588,12.381579,57.53678,65.321902
2.304,16.288049,12.344624,57.667861,65.421503
2.306,16.248985,12.319275,57.80434,65.542408
2.308,16.210491,12.292558,57.969722,65.769935
2.31,16.163316,12.261999,58.127815,65.991398
2.312,16.10526,12.228643,58.253293,66.119359
2.314,16.056165,12.189574,58.383569,66.253971
2.316,16.029943,12.146604,58.549713,66.482781
2.318,16.000336,12.105085,58.71961,66.703917
2.32,15.943004,12.067396,58.859506,66.816877
2.322,15.880306,12.020571,58.995835,66.917259
2.324,15.841012,11.955785,59.158676,67.116461
2.326,15.807897,11.887776,59.328437,67.340764
2.328,15.754838,11.835532,59.47581,67.477943
2.33,15.695656,11.799809,59.615244,67.588343
2.332,15.658223,11.769372,59.774144,67.787441
2.334,15.63424,11.733447,59.938336,68.022809
2.336,15.600448,11.685174,60.080391,68.173968
2.338,15.551817,11.629595,60.21206,68.270869
2.34,15.499936,11.581016,60.370541,68.442321
2.342,15.448189,11.543482,60.553797,68.689924
2.344,15.391316,11.511579,60.722855,68.879102
2.346,15.329195,11.475671,60.865007,68.975147
2.348,15.272898,11.43072,61.011326,69.113792
2.35,15.228054,11.37723,61.177237,69.356562
2.352,15.187485,11.325307,61.338506,69.573097
2.354,15.142456,11.281818,61.478821,69.676979
2.356,15.092614,11.242312,61.625115,69.791838
2.358,15.038666,11.200491,61.7981,70.028964
2.36,14.97356,11.159976,61.968968,70.273838
2.362,14.893836,11.124059,62.109548,70.395965
2.364,14.820253,11.086095,62.246395,70.476882
2.366,14.775744,11.040621,62.41644,70.651546
2.368,14.74664,10.985884,62.602868,70.888046
2.37,14.703815,10.926822,62.766352,71.074816
2.372,14.645611,10.868871,62.908393,71.198994
2.374,14.597452,10.819478,63.066234,71.345477
2.376,14.5678,10.782769,63.249446,71.547532
2.378,14.531426,10.75857,63.415922,71.730405
2.38,14.47192,10.7388,63.545735,71.85513
2.382,14.411144,10.70314,63.686803,71.99648
2.384,14.369619,10.640759,63.876666,72.215164
2.386,14.33713,10.569283,64.067517,72.432001
2.388,14.297694,10.510986,64.209176,72.562858
2.39,14.245381,10.471121,64.333707,72.666119
2.392,14.182347,10.443833,64.497701,72.841201
