WAVELENGTH,AR-AR-T-00AOI,AR-AR-T-30AOI,AR-AR-T-45AOI,AR-AR-T-55AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,AR-R-00AOI,AR-R-30AOI,DLC-R-00AOI
6.088,52.587769,65.876158,70.39661,71.191819,58.429132,61.078968,63.402231,64.937815,20.490557,15.186424,20.898754
6.09,52.654592,65.92526,70.441036,71.232466,58.458229,61.104375,63.425031,64.956532,20.478841,15.162759,20.884503
6.092,52.72586,65.97643,70.487525,71.275009,58.487223,61.127723,63.445745,64.973118,20.467674,15.138486,20.87085
6.094,52.800954,66.029314,70.535861,71.319297,58.514918,61.147009,63.462371,64.985721,20.456115,15.113904,20.85731
6.096,52.879395,66.08491,70.586885,71.36615,58.543002,61.165304,63.47798,64.997256,20.443361,15.088346,20.843416
6.098,52.961355,66.144203,70.641433,71.416381,58.573099,61.18554,63.495503,65.010503,20.428302,15.061161,20.828727
6.1,53.047145,66.207425,70.699756,71.470247,58.604654,61.206379,63.513578,65.024107,20.410269,15.032344,20.812938
6.102,53.134893,66.273899,70.761223,71.527122,58.637497,61.227856,63.532265,65.038188,20.389298,15.002192,20.796184
6.104,53.224119,66.342928,70.82514,71.586312,58.672247,61.251723,63.553359,65.054563,20.36534,14.970886,20.7785
6.106,53.316587,66.41433,70.891328,71.647615,58.709341,61.278959,63.577848,65.074236,20.338521,14.938456,20.759507
6.108,53.411977,66.48966,70.961363,71.712531,58.748279,61.307315,63.603366,65.094822,20.308796,14.904446,20.739184
6.11,53.503063,66.566613,71.032904,71.778864,58.789409,61.339374,63.632673,65.119095,20.275237,14.869559,20.71755
6.112,53.588502,66.642283,71.103,71.84384,58.833253,61.378561,63.669412,65.150723,20.237537,14.834676,20.694416
6.114,53.658269,66.715269,71.170158,71.90605,58.880859,61.428283,63.717133,65.193228,20.193205,14.80013,20.668573
6.116,53.716292,66.787254,71.236045,71.967062,58.932337,61.487475,63.774661,65.245405,20.14409,14.765365,20.640801
6.118,53.767532,66.857595,71.300255,72.026503,58.985157,61.551035,63.836826,65.302207,20.093069,14.73088,20.612241
6.12,53.812312,66.925533,71.362266,72.083896,59.03672,61.613809,63.898404,65.358544,20.041172,14.697218,20.583413
6.122,53.852393,66.991088,71.42212,72.13928,59.087028,61.675836,63.959466,65.414487,19.990555,14.664335,20.55531
6.124,53.887616,67.054525,71.479984,72.192808,59.136993,61.738898,64.021802,65.471778,19.940744,14.632062,20.527724
6.126,53.918213,67.115542,71.535602,72.244245,59.185703,61.801107,64.083433,65.528483,19.891544,14.600679,20.500618
6.128,53.944115,67.173796,71.588671,72.293314,59.232298,61.860732,64.142552,65.582836,19.844372,14.570473,20.474412
6.13,53.964836,67.228583,71.638504,72.339379,59.276958,61.918872,64.200308,65.636002,19.799772,14.541626,20.449246
6.132,53.983881,67.280854,71.686012,72.383282,59.319943,61.975244,64.256403,65.687644,19.757234,14.513787,20.425177
6.134,54.001663,67.332035,71.732578,72.426297,59.361276,62.028559,64.309484,65.736366,19.716677,14.486502,20.402229
6.136,54.020885,67.383025,71.779078,72.469232,59.400929,62.077908,64.358598,65.78121,19.678753,14.4595,20.380239
6.138,54.041776,67.43243,71.824173,72.510851,59.438748,62.124268,64.404778,65.82332,19.643481,14.433269,20.359216
6.14,54.066219,67.481533,71.869082,72.55228,59.47502,62.167058,64.447399,65.8619,19.610834,14.407312,20.339392
6.142,54.09487,67.532086,71.91547,72.595055,59.510088,62.205391,64.485508,65.895782,19.580963,14.380968,20.320792
6.144,54.132497,67.585042,71.964264,72.640024,59.543771,62.237849,64.517646,65.923359,19.55504,14.3539,20.303768
6.146,54.177319,67.639401,72.014528,72.686317,59.575629,62.264332,64.543743,65.944664,19.532125,14.326504,20.287985
6.148,54.226862,67.695298,72.066318,72.734015,59.606955,62.287954,64.566937,65.962922,19.510517,14.298641,20.27289
