WAVELENGTH,Normal,20 deg,Normal,20 deg
2.264,30.486743,26.439406,27.497554,25.164907
2.266,30.501869,26.402107,27.524634,25.179624
2.268,30.464835,26.506121,27.750085,25.308623
2.27,30.31373,26.677029,27.912327,25.503829
2.272,30.119241,26.825693,27.867336,25.654867
2.274,30.118078,26.896387,27.77009,25.627706
2.276,30.348044,26.863296,27.751066,25.432085
2.278,30.522516,26.732722,27.779275,25.274502
2.28,30.467595,26.572032,27.815651,25.298103
2.282,30.317236,26.508982,27.867549,25.449889
2.284,30.211218,26.544352,27.919873,25.58408
2.286,30.175973,26.47354,27.922946,25.540591
2.288,30.185496,26.270076,27.882123,25.296769
2.29,30.171782,26.246698,27.874841,25.025968
2.292,30.106123,26.461202,27.924108,24.907636
2.294,30.062632,26.492676,27.948802,25.011178
2.296,30.08277,26.182821,27.904222,25.269738
2.298,30.111865,25.958894,27.855441,25.475893
2.3,30.116878,26.117977,27.873391,25.51856
2.302,30.153094,26.439124,27.981532,25.565295
2.304,30.255393,26.647244,28.16405,25.732875
2.306,30.381494,26.657985,28.376105,25.873898
2.308,30.479446,26.508012,28.544676,25.871398
2.31,30.525927,26.364854,28.579698,25.815834
2.312,30.522927,26.382634,28.476718,25.817289
2.314,30.515885,26.541925,28.408832,25.900012
2.316,30.539203,26.741809,28.510024,26.044637
2.318,30.557301,26.866454,28.684313,26.169724
2.32,30.530981,26.83807,28.786691,26.203871
2.322,30.502552,26.750069,28.792013,26.21724
2.324,30.519578,26.728805,28.731713,26.296924
2.326,30.545432,26.73148,28.646704,26.366646
2.328,30.528191,26.67613,28.582915,26.329052
2.33,30.506858,26.640582,28.596737,26.25321
2.332,30.547142,26.739727,28.712193,26.258472
2.334,30.606616,26.885668,28.843562,26.328924
2.336,30.599479,26.913043,28.879154,26.382518
2.338,30.542429,26.819269,28.84117,26.374624
2.34,30.519623,26.726597,28.836893,26.304064
2.342,30.539044,26.664842,28.903777,26.23563
2.344,30.520332,26.549493,28.97945,26.278747
2.346,30.441419,26.387904,29.008268,26.40422
2.348,30.367685,26.332434,28.97565,26.399316
2.35,30.354318,26.432362,28.900467,26.205895
2.352,30.403523,26.531266,28.833321,26.098654
2.354,30.479021,26.50598,28.819109,26.264811
2.356,30.483098,26.43292,28.839332,26.461744
2.358,30.355678,26.405801,28.861416,26.445493
2.36,30.198611,26.380453,28.867268,26.315008
2.362,30.130791,26.288032,28.8477,26.241361
2.364,30.126269,26.167202,28.795917,26.248924
2.366,30.103088,26.081678,28.717541,26.294874
2.368,30.01633,26.015295,28.616729,26.268888
2.37,29.866683,25.921358,28.50407,26.071928
2.372,29.728439,25.816628,28.42216,25.812839
2.374,29.725964,25.776869,28.429309,25.769122
2.376,29.869685,25.834012,28.534768,26.009036
2.378,29.994698,25.94,28.672253,26.240556
2.38,29.993787,26.04815,28.777716,26.263737
2.382,29.967045,26.165285,28.838748,26.263432
2.384,30.0205,26.295829,28.868075,26.428206
2.386,30.097743,26.403879,28.871827,26.602351
2.388,30.118377,26.454167,28.859536,26.612192
2.39,30.070267,26.43437,28.896623,26.525141
2.392,29.98554,26.35103,29.03689,26.495009
2.394,29.89413,26.218184,29.168332,26.535275
2.396,29.817779,26.051904,29.121385,26.562129
2.398,29.779637,25.903404,28.888394,26.523774
2.4,29.806108,25.869355,28.716885,26.451068
2.402,29.879466,25.972543,28.779757,26.378529
2.404,29.899461,26.076591,28.919513,26.307687
2.406,29.800964,26.055351,28.951524,26.244097
2.408,29.702862,25.987188,28.936939,26.213405
2.41,29.736151,25.985748,28.977358,26.234676
2.412,29.859889,26.015677,29.039781,26.292439
2.414,29.943345,25.976231,29.034685,26.353943
2.416,29.933922,25.88001,28.971087,26.403925
2.418,29.8856,25.856804,28.955934,26.447347
2.42,29.852218,25.970899,29.045025,26.483523
2.422,29.817244,26.099022,29.119462,26.480506
2.424,29.762155,26.113016,29.078581,26.43106
2.426,29.7329,26.044352,29.002932,26.362815
2.428,29.769049,25.975255,29.005511,26.318396
2.43,29.803799,25.891338,29.064274,26.346967
2.432,29.749413,25.75036,29.104915,26.473281
2.434,29.601062,25.583743,29.080552,26.650875
2.436,29.493244,25.552007,29.014898,26.739137
2.438,29.515882,25.718069,28.944994,26.652913
2.44,29.557385,25.857439,28.895947,26.485639
2.442,29.493633,25.766813,28.880313,26.360341
2.444,29.360128,25.552266,28.877828,26.306324
2.446,29.241421,25.410737,28.85841,26.312102
2.448,29.167484,25.394341,28.812345,26.33336
2.45,29.101445,25.389441,28.755549,26.319752
2.452,29.025028,25.309386,28.709117,26.247334
2.454,29.000949,25.225255,28.695594,26.181604
2.456,29.068973,25.21202,28.725311,26.186546
2.458,29.15463,25.208406,28.770709,26.225064
2.46,29.166152,25.138287,28.795632,26.233341
2.462,29.090026,25.032644,28.801964,26.19939
2.464,28.969783,24.987476,28.820342,26.150399
2.466,28.856334,25.053768,28.857495,26.115167
2.468,28.742581,25.105948,28.855856,26.071515
2.47,28.61515,25.031722,28.775025,26.002394
2.472,28.517102,24.908444,28.665656,25.967661
2.474,28.491801,24.846745,28.597601,26.018249
2.476,28.531126,24.864306,28.594409,26.117122
2.478,28.577698,24.872027,28.617507,26.150807
2.48,28.585562,24.807003,28.63124,26.057001
2.482,28.579326,24.73941,28.646564,25.932627
2.484,28.583959,24.736361,28.677531,25.888242
2.486,28.567888,24.735819,28.692263,25.911936
2.488,28.490433,24.650459,28.660159,25.94447
2.49,28.358043,24.481753,28.593015,25.944889
2.492,28.237335,24.347784,28.560069,25.910017
2.494,28.191089,24.357689,28.614127,25.857461
2.496,28.186467,24.445328,28.679798,25.810108
2.498,28.169781,24.511094,28.673305,25.790765
2.5,28.123474,24.515914,28.615188,25.823593
2.502,28.051249,24.455975,28.580575,25.928327
2.504,27.970621,24.352886,28.620943,26.07286
2.506,27.893335,24.240334,28.656545,26.117765
2.508,27.830263,24.150133,28.610784,25.968791
2.51,27.789112,24.10359,28.528885,25.750617
2.512,27.773504,24.105188,28.488786,25.645533
2.514,27.770756,24.127427,28.511458,25.726658
2.516,27.751896,24.123208,28.515204,25.868527
2.518,27.687926,24.049329,28.424941,25.917824
2.52,27.613295,23.918195,28.307264,25.903356
2.522,27.573244,23.773269,28.254858,25.895958
2.524,27.554272,23.659337,28.286563,25.924351
2.526,27.483972,23.605619,28.346683,25.968479
2.528,27.303087,23.615596,28.369458,26.00496
2.53,27.119484,23.616984,28.347037,26.036409
2.532,27.062928,23.541115,28.290927,26.06234
2.534,27.124814,23.40538,28.227342,26.053335
2.536,27.164341,23.299978,28.188935,25.966109
2.538,27.061625,23.296645,28.195521,25.793093
2.54,26.918836,23.33374,28.230264,25.644235
2.542,26.840093,23.336281,28.263399,25.608057
2.544,26.842659,23.273523,28.277719,25.67465
2.546,26.864499,23.155442,28.272679,25.757045
2.548,26.838077,22.999297,28.252566,25.770003
2.55,26.698288,22.787196,28.175366,25.689056
2.552,26.443549,22.555182,28.026311,25.541951
2.554,26.220039,22.419049,27.922773,25.44567
2.556,26.13606,22.440079,27.965897,25.480641
2.558,26.246279,22.643201,28.2277,25.703951
2.56,26.353112,22.8638,28.458957,25.923
2.562,26.183959,22.852969,28.294132,25.852925
2.564,25.784483,22.570219,27.782111,25.500779
2.566,25.530619,22.26177,27.432443,25.23505
2.568,25.706152,22.200473,27.653208,25.383431
2.57,25.934392,22.216492,27.986695,25.618768
2.572,25.925581,22.150131,28.067011,25.687712
2.574,25.606258,21.952632,27.801209,25.500193
2.576,25.255521,21.760113,27.516876,25.219994
2.578,25.244489,21.755542,27.627248,25.111436
2.58,25.354455,21.818627,27.847853,25.149618
2.582,25.330136,21.809485,27.870424,25.250086
2.584,25.032777,21.632541,27.556073,25.343869
2.586,24.701709,21.33616,27.231364,25.421431
2.588,24.683373,21.081868,27.332522,25.440151
2.59,24.808673,20.937964,27.599483,25.391423
2.592,24.823195,20.856755,27.695517,25.286466
2.594,24.501032,20.767786,27.344861,25.115671
2.596,24.010976,20.615938,26.854444,24.875804
2.598,23.791463,20.433198,26.803324,24.690167
2.6,23.868032,20.332295,27.095852,24.633554
2.602,23.971942,20.34528,27.336039,24.650804
2.604,23.894585,20.479364,27.28454,24.682341
2.606,23.580441,20.540578,26.996883,24.626376
2.608,23.143472,20.267659,26.67617,24.400839
2.61,22.957038,19.795489,26.654701,24.172961
2.612,22.991717,19.535633,26.77541,24.152502
2.614,23.128306,19.48963,26.932677,24.366238
2.616,23.256043,19.507352,27.056058,24.669072
2.618,23.095492,19.372241,26.919464,24.638558
2.62,22.505915,18.954508,26.420845,23.865302
2.622,22.15468,18.716367,26.186453,23.377445
2.624,22.150941,18.73386,26.329359,23.453404
2.626,22.380475,18.922653,26.752148,23.978706
2.628,22.554771,19.074617,27.110826,24.542768
2.63,22.181036,18.840149,26.735773,24.362779
2.632,21.528448,18.331609,26.001009,23.660335
2.634,21.07193,17.868075,25.545118,23.063693
2.636,21.11808,17.725098,25.784026,23.121291
2.638,21.268151,17.710056,26.119737,23.332504
2.64,21.271804,17.662679,26.205375,23.385429
2.642,21.046052,17.511941,25.943478,23.191824
2.644,20.732503,17.284593,25.58432,22.941478
2.646,20.57041,17.074405,25.496913,22.918087
2.648,20.532483,16.911148,25.602894,23.01854
2.65,20.503047,16.780762,25.693941,23.038122
2.652,20.333334,16.636209,25.545149,22.780684
2.654,20.09617,16.464168,25.316785,22.487806
2.656,19.879922,16.278286,25.172805,22.393474
2.658,19.765428,16.117297,25.238184,22.643517
2.66,19.676944,16.025321,25.362819,22.961933
2.662,19.516409,16.011351,25.402117,23.1079
2.664,19.238214,16.045602,25.312874,23.017989
2.666,18.87074,16.06841,25.119944,22.719897
2.668,18.623495,15.965214,24.977239,22.471326
2.67,18.537667,15.727004,24.916215,22.36979
2.672,18.536549,15.41122,24.900346,22.38459
2.674,18.476899,15.064821,24.855181,22.41791
